sdate,buildtype,houseaddress,totalprice,pricedata,ping,pingdata,sigleprice,singleping,floortype,houseage,housetype
11309,華廈/套房,台北市內湖區內湖路二段103巷92弄16號3樓之2,"1,520萬",,"1,520萬",,104.0萬,7.62坪,3~3/5,1.6年,1房(室)1廳1衛
11308,公寓/其他,台北市信義區中坡南路132號3樓之3,"1,300萬",,"1,300萬",,68.2萬,5.28坪,3~3/4,45.5年,2房(室)1廳1衛
11308,華廈,台北市士林區天母北路9巷10號2樓,"3,420萬",含車位230萬,"3,420萬",含車位坪數,97.4萬,7.93坪,2~2/7,7.3年,2房(室)2廳2衛
11308,土地,富安段一小段136地號,303萬,,303萬,,24.5萬,12.39坪,-,--年,
11308,土地,德惠段二小段677-1地號,79萬,,79萬,,31.2萬,2.54坪,-,--年,
11308,大樓,台北市中正區羅斯福路三段136號19樓之1,"13,900萬",含車位價,"13,900萬",含車位11.69坪,135.2萬,8.95坪,19~19/22,3.3年,3房(室)2廳3衛
11308,車位,台北市文山區久康街24巷9之1號,70萬,,70萬,,,0.45坪,1~1/12,16.6年,
11308,土地,祥和段二小段792地號,203萬,,203萬,,35.0萬,5.79坪,-,--年,
11308,土地,辛亥段四小段322地號,30萬,,30萬,,26.2萬,1.15坪,-,--年,
11308,土地,吉林段一小段742地號,286萬,,286萬,,36.1萬,7.93坪,-,--年,
11308,車位,台北市松山區健康路325巷5弄5號,300萬,,300萬,,,0.18坪,1~1/1,24.6年,
11308,華廈/套房,台北市南港區市民大道八段525號3樓,"1,332萬",,"1,332萬",,84.3萬,3.89坪,3~3/7,0.5年,1房(室)1廳1衛
11308,華廈/套房,台北市中山區林森北路85巷33號7樓之7,930萬,,930萬,,91.1萬,2.55坪,7~7/7,16.7年,1房(室)1廳1衛
11308,公寓,台北市萬華區西園路一段27號4樓,"1,770萬",,"1,770萬",,49.7萬,10.77坪,4~4/5,44.8年,6房(室)0廳6衛
11308,大樓/辦公,台北市中山區林森北路263號6樓之20,886萬,,886萬,,70.1萬,1.13坪,6~6/12,42.1年,0房(室)0廳0衛
11308,公寓,台北市信義區福德街260號4樓,"1,670萬",,"1,670萬",,74.7萬,7.11坪,4~4/4,48.6年,4房(室)0廳4衛
11308,大樓/套房,台北市北投區中山路47號12樓之11,263萬,,263萬,,26.1萬,1.83坪,12~12/12,40.4年,1房(室)0廳1衛
11308,土地,溪洲段三小段106地號,58萬,,58萬,,24.0萬,2.40坪,-,--年,
11308,土地,溪洲段三小段73地號,551萬,,551萬,,25.0萬,22.04坪,-,--年,
11308,車位,台北市內湖區康寧路一段195巷3弄6號等共有部分,80萬,,80萬,,,0.00坪,0~0/0,0.0年,
11308,車位,台北市內湖區康樂街186巷1弄1號地下室,165萬,,165萬,,,0.13坪,-1~-1/5,36.8年,
11308,土地,萬芳段四小段225地號,139萬,,139萬,,25.0萬,5.57坪,-,--年,
